제목,작가,별점,조회수
우리들의 사정,득7이,9.70,3.7만
캠퍼스로망스,안경인,8.71,"6,483"
파운드캣,poun****,9.89,"2,075만"
왕깨칠,깨칠이스튜디오,9.42,2.5만
도깨비 낭군님,TB,9.35,"4,120"
반오십부터 그림일기,hans****,9.83,135만
핫캣일기,luna****,9.81,153만
우당탕탕 서윗멀즈,금비,9.76,9.8만
빵뽀시래기,ㅎvㄹ,9.88,660만
프랭크 프랭크,자경단장,9.77,1.1만
나를 죽이는 방법,제이덴티,9.80,238만
스프린터,jk****,9.82,98만
이상과 현실,악역,9.89,143만
괴인체전,킹왕짱,9.21,"8,645"
유니버셜 조인트,마포대교,9.30,"4,283"
나의 섭식장애 일기,vldk****,9.83,165만
좀비탈출록 좀순,18****,9.37,2.5만
다이어트 졸업반,한요정,9.63,38만
옛날이야기 하나 해줄까?,정남,9.42,"7,370"
심야통행금지,삐죽버스3,9.59,1.7만
안녕오존,오존,9.87,242만
친애하는 연서,김수창,6.58,"5,191"
신혼식물,생쥐,9.84,302만
환생 대기소,광땡,8.85,"6,817"
비기닝즈,박정운,9.66,1.2만
이과지옥,wjsd****,9.75,651만
천상대전,myju****,9.87,342만
장하다! 장하다,김은재,9.01,2.8만
"오늘,우다다",ted,9.52,3.5만
정사도 [Saintly Dozen],천지,8.13,27만
나에게도 꽃향기가,김선생,9.83,192만
사자머리와호깜대,사자머리,9.75,36만
방구석수필,dksd****,9.89,171만
오합지졸 퇴마단,의태,9.30,"3,570"
백색소음,서도민,9.20,1.5만
기억 속 너에게,자니,8.96,42만
검은악어,신대륙,9.60,4.2만
구나의 그랬구나,GUNA,9.88,183만
사리네 보석함,쪼,9.45,9.8만
꽃도둑,용개용,9.75,5.9만
마고의 나라,정휘,9.26,3.1만
컬러풀(신세기 단편 동화),신세기,9.88,1.2만
새하얀 나비다드,화초꾸잉이,9.60,22만
인간의 경계선,감향,9.38,"8,153"
옆집에 그녀가 산다,푸유,9.55,50만
방송주인,he****,9.12,1.2만
살인대학,살모사,7.67,"7,368"
널 구하는 카르타노의 공식,차치,8.87,"7,905"
행복 공방,위리,9.19,"3,922"
